Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
562,114,34,258,71,1,1,0,69
651,111,38,146,42,0,1,0,77
591,121,43,257,71,0,0,0,65
614,136,42,161,48,1,3,0,61
620,132,38,162,48,1,2,0,49
622,121,26,216,41,1,1,0,74
629,132,39,404,62,0,4,0,76
637,145,50,236,76,0,1,0,40
648,116,41,403,52,2,2,0,55
633,130,41,173,48,1,2,0,55
656,110,33,152,41,0,0,0,69
628,133,40,209,59,0,1,0,60
647,124,39,181,52,1,3,0,73
606,139,49,743,67,1,1,0,58
625,132,36,168,46,0,1,0,50
636,139,46,281,70,0,1,0,53
650,134,42,384,89,0,4,0,70
659,136,43,168,51,4,5,0,63
652,139,43,183,50,2,2,0,42
635,122,35,170,43,1,2,0,57
631,111,33,311,65,0,0,0,64
632,131,44,154,51,1,2,0,52
666,143,36,212,49,0,3,0,64
667,131,44,204,60,0,4,0,56
641,124,27,219,46,2,2,0,65
653,124,35,165,45,1,3,0,51
658,122,41,162,50,2,3,0,80
609,139,44,261,98,0,1,0,62
655,122,26,154,33,2,1,0,69
640,123,47,198,81,0,4,0,68
644,121,39,335,58,0,1,0,66
668,112,27,203,99,1,1,0,63
669,116,41,178,52,0,1,0,56
645,117,33,170,58,1,1,0,60
643,129,42,191,48,0,2,0,60
663,117,32,181,42,0,1,0,74
674,119,30,145,32,3,3,0,62
671,112,31,145,34,2,2,0,75
665,126,32,161,33,1,1,0,63
649,122,45,239,64,0,1,0,56
634,127,39,150,41,0,0,0,54
682,105,22,150,29,2,2,0,104
661,121,27,188,29,3,5,0,63
676,117,30,235,58,0,0,0,63
672,118,43,217,61,2,1,0,65
673,129,37,232,76,0,3,0,76
670,119,29,215,46,1,0,0,71
662,136,47,185,62,1,1,0,62
566,127,34,172,34,2,2,0,49
680,127,45,321,59,0,0,0,71
576,120,38,164,48,0,0,0,44
683,105,38,139,44,1,2,0,66
664,136,39,193,41,1,1,0,51
684,121,34,198,41,1,1,0,52
678,122,34,190,54,1,2,0,76
688,137,41,425,161,0,0,0,61
